Number,Prompt
10,a man is holding two dog s in his hand and talking about that
1014,a game of golf
1020,a man talking about his flat screen and talking about why he has it there
1036,a man is talking about female ufc
1073,it is part of a magic
1083,a women working in a shop then hilary clinton talking then a person working a computer then a man working a machine
1102,testing consistency of a large batch of dough
1119,gold retriever puppes are playing
1126,a news reader on a channel explains the situation in chicago where angry protesters are confronting police
1138,a man showcasing various vehicles in a freeform game
116,commercial for mall of america
1165,cartoons dancing with their heads falling off
1193,the man suggests that the floor is clean before installing this product
1212,a man speaks about broadcasting
1239,man talking about pus in milk
1261,a man and a woman are getting arrested
1284,footage of a man and a woman who are freezing at night followed by a man looking confused
1288,a group of young christians walk the city streets
1320,a woman is demonstrating a feature of a stroller
1325,a man is staring at an artifacts while crouching down two men are speaking into a microphone
1326,three girls discussing something
1364,a woman talking about making a portuguese dish with chicken while showing it in a pan and then showing the ingredients on a plate
1365,two guy having a wrestling match
1380,a man with a brown shirt tan hat and sunglasses is asking another man questions
1400,an alien is coming out of a man lying in a hospital bed
1417,music vidoe of all male pop rock band
1445,a person is talking about a woman winning
145,a woman is using a baby stroller
1467,one video game character kills another by drowning it and causing it to explode
1476,a woman is talking in front of a king
1495,various people dancing and signing to the footloose theme
15,a woman in a business suit looking at a computer monitor
1507,two women in a store are yelling over their repective sales signs
151,leonardo dicaprio acts in the motion picture the great gatsby
152,a person in a war
1520,a man is laying a pipe
1529,a recording of people and objects around their settings or somewhere else around the world
1550,a promotional trailer of attractions in vietnam and cambodia being shown to the tourists
1576,a woman nods her head
1582,this is a kabadi wrestling video
1583,a man is walking down a street talking to people
1593,a woman is pouring some oil
1602,a black car is driven into an auction hall while two men in a group talk to one another
161,men fighting on a boat
1620,they stood around and talked
1628,a person is running on to a stage
164,wrestler embraces all his loved ones
1643,a man tries to take a picture of himself kissing a sleeping woman with his phone
1647,a woman in a khaki colored coat wearing glass is walking down a stage followed by a woman in a khaki colored dress
1661,a animated cartoon of fighters
168,a construction truck plows a big pile of snow
1696,a blonde man in glasses talks about happiness and opens some wine
1705,r&b artist usher dances in his music video
1718,the design of a sports car is being shown and an image of the actual car is also shown in various colors and model
1771,a girl is modeling
1779,a person playing the kung fu pets app
1782,a display of a hockey player making a goal
1784,a woman screams
180,spongbob is wearing pajamas
1815,a boy and a girl cross dressed and playing in the room
1842,kid being asked questions by a man
1869,a person is drawing
1871,its a food item for eating
1898,man narrating while a map of europe is displayed talking about the industrial revolution that started in england
1908,man fixing a car
192,the person is adding paprika in his cooking and the person is explaining that
1928,there are ponies in a pen and one person is feeding them carrots while another person is petting their heads
1968,ther are people doing gymnastics
1975,the car has a beige interior and a manual transmission
1999,a women is showing about the recipe of maggie in a different way to prepare with milk
2001,actor doing a movie interview
2059,a news channel talks about a school board shake up and then a ballerina is shown dancing in a dance studio
2063,a video game is being played
2064,christine from grey s anatomy is answering questions in a medical lecture hall
2095,a girl is singing on the voice
2105,some girls are doing something in sunshine
2113,there is a logo of a cafe with background rainforest noises
212,a baby gets so excited about eating delicious fruit he emits sounds like chewbacca
2120,people are doing golf tricks
2121,a person with thick eye brows is making a joke video about butter
2130,dr phil talking to an older lady with short white hair
2131,a couple characters and a ship taking off really fast  its kind of clody with blue skies pretty water and a island and a sandy beach
2134,a cartoon robot speaks to the camera
2139,a man tells a joke at the laugh factory
2164,large size mountain is found near the sea
2169,terminator 2 sound designer gary rydstrom tells how cameron voiced the t-1000 as it died in the steel mill
2173,a woman is putting an eyeliner on her face
2181,animals fighting each other
2184,a clip from a foreign news program that has no sound
2188,a woman waits outside a door
220,human bodies are falling from a helicopter at a forward slant over a large funnel-type structure where other bodies are piling up
2200,just shaking herself to show her excellence in preparing the bed
2258,a woman is demonstrating how to take a stroller apart
2264,a male speaker discusses his applications on his personal computer desktop
2326,many people are entering a bus
235,a man wearing a purple tie talks and holds a book
2363,a large group of ants traveling in formation over leaves
2439,a woman is putting make up with the green color cream
2485,several different people display love for one another in different ways one by teaching a blind person how to read
2520,a scene from a movie
2599,there are bubbles underwater
261,a man talks on a show about people wanting to own the white house and doing anything it would take to own it
2624,a couple has nineteen children
2628,some people are dancing
2651,a car is driving on a road and a robot waves to him
2686,a dance program group dance and the stadium
269,a person is playing a video game
2731,a car is showed which is silver color
2738,a man is singing
274,a chef demonstrates and describes a gluten free recipe
2770,someone is holding a paper
2792,a samurai is looking at a ribbon that was floating in the air
2804,a man tells a woman about his scheme to have a man kidnapped
2813,a couple is demonstrating the storage capacity in a polaris ranger
2832,a car is revving up its engine
2836,scene from the thor movie
2855,a short intro to how images on tvs are displayed
2918,a car violently smashes into the head of a man in a video game
2931,a man is talking about the many features of a bicycle looking vehicle including different color as well as other features
2943,a large group of people gather to view a very scenicwaterfall
2949,a cooking video and a lady explain how is that item cooking
2951,a young girl is singing at a competition
2955,woman in red shirt is in her room and playing with two toys
2959,people are playing sports
2977,a dragon runs around the game and enters a new level
2986,a group of kids talk about 1990 s fashion
2992,a man is pouring a glass of milk
2997,an animated character yells and curses at a clerk at a game store
301,a girl is playing a video game
3081,a ramp model wearing green two-piece lingerie is walking beautifully in the ramp
3085,a owl sitting upon tree and holding in hand displaying on screen
3091,some greens are soaked in the water kept on the blue bowl
3144,track and fiel inspection guy talking about how the tracks are how well they were maintaines
3155,a man is in a parking lot
3167,a super hero with her monkey on a game show
3187,a religious ceramony with people walking and receiving a religious blessing
3188,a motorcycle goes down a street
3190,still pictures of a monkey holding a banana
3211,a cartoon car is getting towed by a cartoon truck
3227,a woman laughs and hits a man in a not so serious way
3235,a person is looking at their engine to fix it
